,location_name,location_region,res_date,res_type,res_address,res_price,res_price_sqr,res_sqr,construction_year,levels,bedrooms,bathrooms,deleted,deleted_at,status,energyclass,auto_heating,solar,cooling,safe_door,gas,fireplace,furniture,student,parking,parking_flag,days_up
15953,Καλλιθέα,Αττική,2022-04-14,Διαμέρισμα,"Νέα Σμύρνη,Άγιος Σώστης",165000,1964.0,84.0,1972.0,Ημιώροφος,2.0,1.0,1,2022-04-15,Καλή,Εκρεμμεί,1,1,1,1,1,0,0,1,,0,1 days
15954,Αργυρούπολη,Αττική,2022-05-30,Διαμέρισμα,"Αργυρούπολη,Κέντρο",145000,2071.0,70.0,1970.0,Ισόγειο,2.0,1.0,1,2022-06-10,Ανακαινισμένο,Η,0,0,0,1,0,0,0,0,,0,11 days
15955,Αθήνα,Αττική,2021-07-02,Διαμέρισμα,"Αθήνα,Άγιος Νικόλαος",49500,1100.0,45.0,1966.0,1ος,1.0,1.0,1,2022-04-01,Χρήζει ανακαίνισης,Ε,1,0,0,0,0,0,0,0,,0,273 days
15956,Αθήνα,Αττική,2021-10-25,Διαμέρισμα,"Αθήνα,Πλατεία Βικτωρίας",219500,2821.0,78.0,2021.0,7ος,2.0,1.0,1,2022-04-15,Νεόδμητο,Α+,1,0,0,1,1,0,0,1,,0,172 days
15957,Γαλάτσι,Αττική,2020-12-07,Διαμέρισμα,"Γαλάτσι,Λαμπρινή",192000,2087.0,92.0,2000.0,7ος,3.0,1.0,1,2022-06-10,Ανακαινισμένο,Δ,1,1,1,1,0,0,0,0,,0,550 days
15958,Χαλάνδρι,Αττική,2022-01-27,Διαμέρισμα,"Χαλάνδρι,Άνω Πάτημα",316000,3674.0,86.0,2021.0,1ος,2.0,1.0,1,2022-06-10,Νεόδμητο,Α+,1,0,1,1,0,1,0,0,Κλειστό parking,1,134 days
15959,Νέα Σμύρνη,Αττική,2022-04-25,Διαμέρισμα,"Νέα Σμύρνη,Άνω Νέα Σμύρνη",170000,2833.0,60.0,2022.0,2ος,1.0,1.0,1,2022-05-31,Νεόδμητο,Α+,0,1,1,1,0,0,0,1,,0,36 days
15960,Ζωγράφου,Αττική,2021-01-12,Διαμέρισμα,"Ζωγράφου,Ιλίσια",60000,1714.0,35.0,1966.0,Ισόγειο,1.0,1.0,1,2022-06-10,Ανακαινισμένο,Δ,1,0,0,1,1,0,0,0,,0,514 days
15961,Αχαρνές,Αττική,2022-05-20,Διαμέρισμα,Θρακομακεδόνες,170000,1030.0,165.0,1987.0,1ος,3.0,1.0,1,2022-06-10,Χρήζει ανακαίνισης,Δ,0,0,0,0,0,1,0,0,,0,21 days
15962,Βάρη - Βούλα - Βουλιαγμένη,Αττική,2019-07-09,Διαμέρισμα,"Γλυφάδα,Άνω Γλυφάδα",280000,3111.0,90.0,2011.0,2ος,2.0,1.0,1,2022-06-10,Νεόδμητο,Εκρεμμεί,1,1,1,1,0,0,0,0,,0,1067 days
15963,Χαλάνδρι,Αττική,2022-05-03,Διαμέρισμα,"Χαλάνδρι,Αγία Άννα",230000,1840.0,125.0,,2ος,2.0,2.0,1,2022-06-10,Καλή,,0,0,0,1,0,0,0,0,,0,38 days
15964,Άγιοι Ανάργυροι,Αττική,2021-10-17,Διαμέρισμα,"Αθήνα,Αγία Παρασκευή",56000,1098.0,51.0,1970.0,5ος,1.0,1.0,1,2022-06-10,Καλή,Ε,1,0,0,0,0,0,0,0,,0,236 days
15965,Πειραιάς,Αττική,2022-02-01,Κτίριο,"Πειραιάς,Κέντρο",1150000,2091.0,550.0,1994.0,Ισόγειο,,,1,2022-06-10,Καλή,Εκρεμμεί,1,0,0,0,0,0,0,0,,0,129 days
15966,Αθήνα,Αττική,2022-03-08,Διαμέρισμα,"Αθήνα,Άνω Πετράλωνα",70000,1400.0,50.0,1964.0,Ισόγειο,2.0,1.0,1,2022-04-20,Ανακαινισμένο,Η,0,0,0,1,0,1,0,0,,0,43 days
15967,Χαλάνδρι,Αττική,2022-03-23,Μεζονέτα,"Αγία Παρασκευή,Παράδεισος",380000,1727.0,220.0,2009.0,'Αλλο,3.0,3.0,1,2022-03-24,Ημιτελές,Δ,1,0,0,1,0,1,0,0,Κλειστό parking,1,1 days
15968,Αθήνα,Αττική,2022-05-26,Διαμέρισμα,"Αθήνα,Κολιάτσου",130000,2031.0,64.0,2005.0,2ος,,,0,,Άριστη,Ε,1,0,0,0,0,0,0,0,Κλειστό parking,1,
15969,Λυκόβρυση Πεύκη,Αττική,2021-09-22,Διαμέρισμα,"Λυκόβρυση,Παλαιό Ηράκλειο",190000,2159.0,88.0,1991.0,3ος,3.0,1.0,1,2022-03-24,Καλή,Δ,1,0,0,1,0,1,0,0,Κλειστό parking,1,183 days
15970,Αθήνα,Αττική,2019-09-03,Διαμέρισμα,"Αθήνα,Πλατεία Αττικής",81650,859.0,95.0,1975.0,Υπερυψωμένο,4.0,2.0,1,2022-04-11,,,1,0,0,0,0,0,0,0,,0,951 days
15971,Αθήνα,Αττική,2022-05-24,Διαμέρισμα,"Αθήνα,Άγιος Παντελεήμονας",100000,1042.0,96.0,1970.0,4ος,2.0,1.0,0,,Χρήζει ανακαίνισης,Εκρεμμεί,0,0,0,0,0,0,0,0,,0,
15972,Άλιμος,Αττική,2022-04-25,Διαμέρισμα,"Παλαιό Φάληρο,Ρέμα Πικροδάφνης",265000,3732.0,71.0,2021.0,6ος,2.0,1.0,1,2022-04-29,Υπο κατασκευή,Α,0,1,0,1,0,1,0,0,,0,4 days
15974,Κρωπία,Αττική,2022-02-09,Διαμέρισμα,Καλύβια Θορικού,100000,1923.0,52.0,2010.0,Ισόγειο,1.0,1.0,1,2022-06-10,Άριστη,Μη αποδοτικό,1,0,0,0,0,0,0,0,Κλειστό parking,1,121 days
15975,Μαρούσι,Αττική,2022-05-17,Διαμέρισμα,"Μαρούσι,Παράδεισος",330000,3204.0,103.0,2021.0,2ος,3.0,1.0,1,2022-06-02,Υπο κατασκευή,Α+,0,0,0,1,0,1,0,0,Ανοιχτό parking,1,16 days
15976,Αθήνα,Αττική,2022-04-03,Διαμέρισμα,"Αθήνα,Κολιάτσου",75000,833.0,90.0,1962.0,4ος,2.0,1.0,1,2022-04-05,Καλή,Η,1,0,0,0,0,0,0,1,,0,2 days
15977,Σαλαμίνα,Αττική,2020-09-23,Μονοκατοικία,Σαλαμίνα,70000,761.0,92.0,1970.0,Ισόγειο,3.0,,0,,Καλή,Η,1,0,1,0,0,0,1,0,,0,
15978,Αθήνα,Αττική,2021-06-22,Διαμέρισμα,"Αθήνα,Άγιος Ιωάννης",250000,2747.0,91.0,2020.0,1ος,2.0,1.0,1,2022-03-17,Νεόδμητο,Μη αποδοτικό,1,1,1,0,0,0,0,0,,0,268 days
15979,Αγιά Βαρβάρα,Αττική,2021-05-31,Διαμέρισμα,"Αγία Βαρβάρα,Όριο Αγίας Βαρβάρας",75000,789.0,95.0,1970.0,1ος,2.0,1.0,0,,,Η,0,0,0,0,0,0,0,0,,0,
15980,Ηλιούπολη,Αττική,2022-05-17,Διαμέρισμα,"Ηλιούπολη,Άνω Ηλιούπολη",370000,3274.0,113.0,2021.0,2ος,3.0,2.0,1,2022-05-18,Υπο κατασκευή,Α+,0,1,1,1,0,1,0,0,Υπόγειο parking,1,1 days
15981,Αχαρνές,Αττική,2021-10-29,Μονοκατοικία,"Μελίσσια,Όριο Κηφισιάς",545000,2725.0,200.0,1975.0,Ισόγειο,4.0,2.0,0,,Καλή,Ε,1,1,1,0,0,1,0,0,Ανοιχτό parking,1,
15983,Βάρη - Βούλα - Βουλιαγμένη,Αττική,2022-04-16,Μεζονέτα,Βάρη,520000,2122.0,245.0,2012.0,1ος,3.0,2.0,1,2022-04-17,Ημιτελές,Γ,1,0,0,1,0,0,0,0,,0,1 days
15984,Αθήνα,Αττική,2022-04-26,Διαμέρισμα,"Αθήνα,Πλατεία Αμερικής",79000,1053.0,75.0,1964.0,1ος,2.0,1.0,1,2022-06-07,Ανακαινισμένο,Ε,0,0,0,0,0,0,0,1,,0,42 days
15985,Αθήνα,Αττική,2020-09-15,Διαμέρισμα,"Αθήνα,Μουσείο",185000,2643.0,70.0,1970.0,4ος,2.0,1.0,1,2022-05-26,Ανακαινισμένο,Γ,1,0,1,1,1,0,0,0,,0,618 days
15986,Πειραιάς,Αττική,2020-11-02,Διαμέρισμα,"Πειραιάς,Νέο Φάληρο",135000,2755.0,49.0,2005.0,5ος,1.0,1.0,1,2022-05-20,Άριστη,Γ,1,0,0,1,0,1,0,0,,0,564 days
