,location_name,location_region,res_date,res_type,res_address,res_price,res_price_sqr,res_sqr,construction_year,levels,bedrooms,bathrooms,deleted,deleted_at,status,energyclass,auto_heating,solar,cooling,safe_door,gas,fireplace,furniture,student,parking,parking_flag,days_up
0,Παλαιό Φάληρο,Αττική,2021-06-18,Διαμέρισμα,"Παλαιό Φάληρο,Γήπεδα",89000,1618.0,55.0,1973.0,Υπερυψωμένο,1.0,1.0,1,2022-04-05,Ανακαινισμένο,Δ,1,0,1,1,0,0,0,0,,0,291 days
1,Αχαρνές,Αττική,2022-03-30,Μεζονέτα,"Αχαρνές,Λαθέα",150000,1531.0,98.0,2010.0,4ος,2.0,1.0,1,2022-05-19,Νεόδμητο,Γ,0,0,0,0,0,1,0,0,Κλειστό parking,1,50 days
2,Παγκράτι,Αττική,2022-02-25,Διαμέρισμα,"Αθήνα,Παγκράτι",400000,3175.0,126.0,1990.0,3ος,3.0,1.0,1,2022-06-10,Άριστη,Δ,1,0,1,1,0,1,0,0,,0,105 days
3,Αθήνα,Αττική,2022-03-21,Διαμέρισμα,"Αθήνα,Άγιος Παντελεήμονας",80000,941.0,85.0,1957.0,5ος,2.0,1.0,1,2022-03-23,Καλή,Ζ,1,0,0,1,0,0,0,1,,0,2 days
4,Ίλιον,Αττική,2022-01-11,Διαμέρισμα,"Αθήνα,Άγιος Ελευθέριος",100000,2083.0,48.0,1996.0,1ος,1.0,1.0,1,2022-04-14,Καλή,Δ,1,0,0,1,0,0,0,0,,0,93 days
5,Αθήνα,Αττική,2019-12-04,Διαμέρισμα,"Αθήνα,Πλατεία Αμερικής",133000,1385.0,96.0,1964.0,3ος,2.0,1.0,1,2022-03-30,Ανακαινισμένο,Εκρεμμεί,1,0,0,1,0,0,0,0,,0,847 days
6,Γαλάτσι,Αττική,2020-09-11,Διαμέρισμα,"Αθήνα,Άνω Κυψέλη",35000,522.0,67.0,1970.0,Ημιυπόγειο,2.0,1.0,1,2022-03-17,Καλή,Ε,0,0,0,0,0,0,0,0,,0,552 days
8,Αθήνα,Αττική,2022-02-14,Διαμέρισμα,"Αθήνα,Προφήτης Ηλίας",130000,1733.0,75.0,1972.0,1ος,2.0,2.0,1,2022-06-10,Ανακαινισμένο,Δ,0,0,1,1,0,0,0,0,,0,116 days
9,Δάφνη,Αττική,2022-04-11,Κτίριο,"Αθήνα,Κυνοσάργους",450000,1331.0,338.0,2002.0,'Αλλο,3.0,2.0,1,2022-04-22,Καλή,Εκρεμμεί,0,1,1,1,1,1,0,0,"Κλειστό parking, Υπόγειο parking",1,11 days
10,Χαϊδάρι,Αττική,2022-03-23,Διαμέρισμα,"Περιστέρι,Νέα Ζωή",110000,1250.0,88.0,1982.0,1ος,2.0,1.0,1,2022-03-24,Άριστη,Ε,1,0,1,0,0,0,0,0,,0,1 days
11,Καλλιθέα,Αττική,2022-03-09,Διαμέρισμα,"Νέα Σμύρνη,Κέντρο",220000,2558.0,86.0,2002.0,2ος,2.0,1.0,1,2022-04-15,Άριστη,Γ,1,0,1,1,0,0,1,0,Parking πιλωτής,1,37 days
12,Αργυρούπολη,Αττική,2022-05-13,Διαμέρισμα,Αργυρούπολη,260000,2737.0,95.0,1985.0,2ος,2.0,1.0,1,2022-06-10,Άριστη,Γ,0,0,0,0,0,0,0,0,,0,28 days
13,Περιστέρι,Αττική,2022-05-09,Διαμέρισμα,"Αθήνα,Κολοκυνθού",130000,1300.0,100.0,1977.0,2ος,2.0,2.0,1,2022-05-14,,Ζ,0,1,1,0,0,0,1,0,,0,5 days
14,Κρωπία,Αττική,2019-11-11,Μονοκατοικία,Δ. Κρωπίας,310000,1632.0,190.0,2007.0,Ισόγειο,3.0,1.0,1,2022-06-10,Νεόδμητο,,1,1,1,1,0,0,1,0,,0,942 days
16,Νέα Ιωνία,Αττική,2019-07-29,Μονοκατοικία,"Νέα Ιωνία,Ελευθερούπολη",120000,1091.0,110.0,1925.0,Υπερυψωμένο,2.0,1.0,0,,,,0,1,0,0,0,0,0,0,,0,
17,Μοσχάτο - Ταύρος,Αττική,2021-06-02,Διαμέρισμα,"Καλλιθέα,Λόφος Φιλαρέτου",120000,1412.0,85.0,1970.0,3ος,2.0,1.0,1,2022-05-10,Χρήζει ανακαίνισης,Εκρεμμεί,1,0,1,0,1,0,0,0,,0,342 days
18,Αχαρνές,Αττική,2022-03-02,Μεζονέτα,"Κηφισιά,Κέντρο",1450000,2984.0,486.0,,'Αλλο,,,1,2022-04-16,Νεόδμητο,Εκρεμμεί,0,0,0,0,0,0,0,0,,0,45 days
19,Βάρη - Βούλα - Βουλιαγμένη,Αττική,2019-11-30,Μεζονέτα,"Βούλα,Κάτω Βούλα",1500000,6522.0,230.0,2018.0,2ος,3.0,3.0,1,2022-06-10,Ανακαινισμένο,Μη αποδοτικό,1,1,1,1,1,1,1,0,,0,923 days
20,Νίκαια,Αττική,2022-04-21,Διαμέρισμα,"Κορυδαλλός,Πλατεία Ελευθερίας",85000,944.0,90.0,,Ισόγειο,2.0,1.0,1,2022-05-17,Ανακαινισμένο,Ζ,0,0,0,1,0,0,0,0,,0,26 days
21,Πειραιάς,Αττική,2019-08-08,Κτίριο,"Πειραιάς,Καστέλα (Προφήτης Ηλίας)",360000,1324.0,272.0,1976.0,Ισόγειο,6.0,3.0,1,2022-05-17,Άλλη κατάσταση,,0,0,0,0,0,0,0,0,,0,1013 days
22,Ζωγράφου,Αττική,2022-04-15,Διαμέρισμα,"Αθήνα,Ιπποκράτειο",85000,1545.0,55.0,1966.0,1ος,1.0,1.0,1,2022-05-07,Καλή,Ζ,0,0,0,0,0,0,0,1,,0,22 days
23,Βάρη - Βούλα - Βουλιαγμένη,Αττική,2021-05-06,Μονοκατοικία,"Βούλα,Κάτω Βούλα",1300000,5200.0,250.0,2017.0,Ισόγειο,4.0,4.0,1,2022-06-08,Άριστη,Ζ,1,1,1,1,0,1,0,0,Υπόγειο parking,1,398 days
24,Ζωγράφου,Αττική,2022-04-13,Διαμέρισμα,"Καισαριανή,Νήαρ Ηστ",120000,3000.0,40.0,2008.0,5ος,1.0,1.0,1,2022-06-10,Νεόδμητο,Γ,1,0,1,1,1,0,0,1,,0,58 days
25,Νίκαια,Αττική,2022-06-02,Διαμέρισμα,"Νίκαια,Άγιος Γεώργιος",95000,1979.0,48.0,2012.0,1ος,1.0,1.0,1,2022-06-10,Ημιτελές,Γ,0,0,0,0,0,0,0,0,,0,8 days
26,Χαλάνδρι,Αττική,2022-05-26,Μεζονέτα,"Αγία Παρασκευή,Πευκάκια",585000,3503.0,167.0,2022.0,'Αλλο,3.0,2.0,1,2022-06-10,Υπο κατασκευή,Β+,1,1,1,1,1,1,0,0,,0,15 days
27,Χαλάνδρι,Αττική,2018-07-31,Διαμέρισμα,"Βριλήσσια,Κέντρο",400000,2703.0,148.0,1994.0,4ος,3.0,,1,2022-05-30,Ανακαινισμένο,,1,0,0,0,0,0,0,0,,0,1399 days
28,Αθήνα,Αττική,2022-03-01,Διαμέρισμα,"Αθήνα,Μακρυγιάννη (Ακρόπολη)",1380000,12000.0,115.0,1962.0,4ος,2.0,1.0,1,2022-04-15,Ανακαινισμένο,Ε,1,0,1,1,1,0,0,0,,0,45 days
29,Νίκαια,Αττική,2021-09-04,Διαμέρισμα,"Νίκαια,Τουρκοβούνια",50000,965.0,52.0,1996.0,1ος,1.0,1.0,1,2022-04-14,Άλλη κατάσταση,Η,0,0,1,0,0,0,0,0,,0,222 days
30,Αχαρνές,Αττική,2022-03-03,Μεζονέτα,Θρακομακεδόνες,700000,2333.0,300.0,1999.0,'Αλλο,,,1,2022-03-17,Καλή,Γ,0,0,0,0,0,0,0,0,,0,14 days
31,Αθήνα,Αττική,2022-02-04,Διαμέρισμα,"Αθήνα,Πεδίον Άρεως",350000,3465.0,101.0,2021.0,5ος,3.0,2.0,1,2022-05-16,Νεόδμητο,Β+,1,1,0,1,1,0,0,0,,0,101 days
32,Αθήνα,Αττική,2022-04-04,Διαμέρισμα,"Αθήνα,Άγιος Αρτέμιος",250000,2778.0,90.0,2005.0,3ος,2.0,1.0,1,2022-04-05,Νεόδμητο,Δ,1,0,0,0,0,1,1,0,,0,1 days
34,Ηλιούπολη,Αττική,2022-05-13,Διαμέρισμα,"Ηλιούπολη,Κάτω Ηλιούπολη",190000,1545.0,123.0,1964.0,1ος,3.0,1.0,1,2022-05-14,Καλή,Δ,0,0,1,0,0,0,0,0,,0,1 days
35,Ζωγράφου,Αττική,2022-04-28,Διαμέρισμα,"Ζωγράφου,Κέντρο",64000,1231.0,52.0,1971.0,Ισόγειο,1.0,1.0,1,2022-05-07,Καλή,Ε,0,0,0,0,0,0,0,0,,0,9 days
36,Πειραιάς,Αττική,2019-11-14,Διαμέρισμα,"Πειραιάς,Κέντρο",176000,2000.0,88.0,1965.0,2ος,2.0,1.0,1,2022-06-10,Καλή,Η,0,0,0,0,1,0,0,0,,0,939 days
37,Νέα Ιωνία,Αττική,2020-07-16,Διαμέρισμα,"Μαρούσι,Ο.Α.Κ.Α.",320000,2783.0,115.0,2008.0,1ος,3.0,1.0,1,2022-04-15,,Γ,1,0,0,1,1,0,0,0,Parking πιλωτής,1,638 days
38,Βάρη - Βούλα - Βουλιαγμένη,Αττική,2019-07-25,Μονοκατοικία,Βούλα,3000000,6383.0,470.0,2005.0,Ισόγειο,5.0,5.0,1,2022-05-12,Άριστη,Γ,1,0,0,1,0,0,0,0,,0,1022 days
39,Καλλιθέα,Αττική,2022-04-15,Διαμέρισμα,"Νέα Σμύρνη,Κέντρο",180000,2400.0,75.0,1975.0,3ος,2.0,1.0,1,2022-04-22,Ανακαινισμένο,Δ,0,0,0,0,0,0,1,0,,0,7 days
40,Διόνυσος,Αττική,2022-04-07,Μεζονέτα,Δροσιά,721000,2631.0,274.0,2011.0,Ισόγειο,4.0,1.0,1,2022-04-26,Νεόδμητο,Μη αποδοτικό,1,0,0,1,0,1,0,0,,0,19 days
41,Άλιμος,Αττική,2022-03-19,Διαμέρισμα,"Παλαιό Φάληρο,Πλατεία Ντάβαρη",430000,3981.0,108.0,2021.0,6ος,3.0,1.0,1,2022-03-23,Νεόδμητο,Α+,1,1,1,1,0,1,0,0,,0,4 days
42,Αθήνα,Αττική,2022-04-03,Διαμέρισμα,"Αθήνα,Άγιος Παντελεήμονας",165000,1571.0,105.0,1964.0,4ος,2.0,1.0,1,2022-04-14,Άριστη,Ζ,0,0,0,1,0,0,0,0,,0,11 days
43,Αθήνα,Αττική,2022-03-21,Διαμέρισμα,"Αθήνα,Κάτω Πατήσια",162500,1250.0,130.0,,Ισόγειο,2.0,1.0,1,2022-03-23,Ανακαινισμένο,Μη αποδοτικό,1,0,0,0,0,0,0,0,,0,2 days
44,Μαρούσι,Αττική,2022-03-30,Διαμέρισμα,"Μαρούσι,Ανάβρυτα",230000,2421.0,95.0,1981.0,3ος,2.0,,1,2022-03-31,Ανακαινισμένο,Εκρεμμεί,1,0,0,0,1,1,0,0,,0,1 days
45,Διόνυσος,Αττική,2022-01-10,Μεζονέτα,Εκάλη,3300000,5820.0,567.0,,Ισόγειο,7.0,,0,,Άλλη κατάσταση,Εκρεμμεί,0,0,0,0,0,0,0,0,,0,
47,Νέα Σμύρνη,Αττική,2022-04-16,Διαμέρισμα,"Νέα Σμύρνη,Άνω Νέα Σμύρνη",395000,3405.0,116.0,2020.0,6ος,3.0,1.0,1,2022-04-26,Νεόδμητο,Β+,1,0,0,1,0,1,0,0,,0,10 days
48,Βάρη - Βούλα - Βουλιαγμένη,Αττική,2022-06-09,Μεζονέτα,"Βάρη,Βάρκιζα",1989000,9251.0,215.0,,'Αλλο,3.0,,1,2022-06-10,Υπο κατασκευή,Α+,0,0,1,1,0,0,0,0,,0,1 days
49,Αιγάλεω,Αττική,2021-04-08,Μονοκατοικία,"Περιστέρι,Βιαμάξ",130000,500.0,260.0,1970.0,'Αλλο,3.0,1.0,1,2022-06-10,Άλλη κατάσταση,Η,1,0,0,0,0,1,0,0,,0,428 days
50,Αγία Παρασκευή,Αττική,2022-03-23,Διαμέρισμα,Νέα Ζωή,450000,2074.0,217.0,1978.0,2ος,3.0,2.0,1,2022-03-24,Ανακαινισμένο,Ζ,1,0,1,1,0,0,0,0,Κλειστό parking,1,1 days
51,Διόνυσος,Αττική,2022-03-22,Μονοκατοικία,Εκάλη,600000,2290.0,262.0,,'Αλλο,3.0,1.0,1,2022-06-10,,,1,0,0,0,0,1,0,0,,0,80 days
52,Αθήνα,Αττική,2022-03-27,Διαμέρισμα,Ψυχικό,40000,1250.0,32.0,1977.0,'Αλλο,1.0,1.0,1,2022-04-12,Καλή,Μη αποδοτικό,0,0,0,0,0,0,0,0,,0,16 days
53,Αθήνα,Αττική,2022-05-07,Διαμέρισμα,"Αθήνα,Γκύζη",78000,1164.0,67.0,1968.0,1ος,1.0,1.0,1,2022-05-17,Καλή,Η,0,0,1,0,0,0,0,0,,0,10 days
54,Αθήνα,Αττική,2022-03-01,Μεζονέτα,"Αθήνα,Πλατεία Αττικής",240000,3582.0,67.0,1975.0,6ος,2.0,2.0,1,2022-03-23,Άλλη κατάσταση,Ε,0,0,1,0,0,0,0,0,,0,22 days
55,Ζωγράφου,Αττική,2017-05-11,Διαμέρισμα,"Ζωγράφου,Γουδή",140000,1273.0,110.0,1978.0,2ος,2.0,,1,2022-06-10,Άλλη κατάσταση,,0,0,0,0,0,0,0,0,,0,1856 days
56,Άλιμος,Αττική,2022-01-31,Διαμέρισμα,"Άλιμος,Κυθηρίων - Πανί",430000,2986.0,144.0,1976.0,1ος,3.0,1.0,1,2022-06-10,Άριστη,Εκρεμμεί,1,0,0,1,0,0,0,0,,0,130 days
57,Βάρη - Βούλα - Βουλιαγμένη,Αττική,2020-06-18,Μεζονέτα,"Βάρη,Ασύρματος",970000,2853.0,340.0,2021.0,'Αλλο,5.0,2.0,1,2022-06-10,Νεόδμητο,Α,1,0,0,1,0,1,0,0,,0,722 days
58,Γλυφάδα,Αττική,2022-04-07,Μεζονέτα,"Γλυφάδα,Αιξωνή",1200000,4000.0,300.0,1998.0,'Αλλο,3.0,3.0,1,2022-06-07,Άριστη,Ε,1,0,1,1,0,1,0,0,,0,61 days
59,Αθήνα,Αττική,2022-03-24,Διαμέρισμα,"Αθήνα,Κουκάκι",259000,2158.0,120.0,1975.0,4ος,2.0,1.0,1,2022-04-12,Άριστη,Ζ,1,0,0,1,0,0,0,0,,0,19 days
62,Αθήνα,Αττική,2021-12-02,Διαμέρισμα,"Αθήνα,Κολιάτσου",38000,1267.0,30.0,1970.0,Ισόγειο,1.0,,1,2022-03-21,Χρήζει ανακαίνισης,Η,1,0,0,0,0,0,0,0,,0,109 days
63,Αθήνα,Αττική,2022-03-29,Διαμέρισμα,"Αθήνα,Βοτανικός",150000,1667.0,90.0,2004.0,1ος,3.0,2.0,1,2022-06-10,Καλή,Δ,1,0,0,1,0,0,0,0,Parking πιλωτής,1,73 days
64,Βάρη - Βούλα - Βουλιαγμένη,Αττική,2021-11-03,Μονοκατοικία,"Βάρη,Κέντρο",550000,5670.0,97.0,1970.0,Ισόγειο,3.0,1.0,1,2022-03-23,Ανακαινισμένο,Ε,1,0,1,0,0,1,0,0,Ανοιχτό parking,1,140 days
65,Αθήνα,Αττική,2022-05-06,Διαμέρισμα,"Αθήνα,Κολωνός",100000,1724.0,58.0,1973.0,5ος,1.0,1.0,1,2022-05-23,Καλή,Ζ,0,1,1,1,0,0,0,0,,0,17 days
66,Αθήνα,Αττική,2022-02-08,Διαμέρισμα,"Αθήνα,Πλατεία Αμερικής",78000,897.0,87.0,1965.0,1ος,2.0,1.0,1,2022-03-25,Ανακαινισμένο,Ε,0,1,0,1,0,0,0,1,,0,45 days
67,Αθήνα,Αττική,2022-04-07,Διαμέρισμα,"Αθήνα,Ομόνοια",82000,1414.0,58.0,1965.0,3ος,2.0,1.0,1,2022-04-08,Νεόδμητο,Ε,0,0,0,0,0,0,0,0,,0,1 days
68,Κρωπία,Αττική,2022-03-19,Οικία,"Καλύβια Θορικού,Λαγονήσι (Παραλία)",120000,1600.0,75.0,1970.0,Ισόγειο,,,1,2022-06-10,Χρήζει ανακαίνισης,Μη αποδοτικό,0,0,0,0,0,0,0,0,,0,83 days
69,Γλυφάδα,Αττική,2020-02-07,Διαμέρισμα,"Γλυφάδα,Κέντρο",700000,5185.0,135.0,2010.0,3ος,3.0,2.0,1,2022-06-10,Νεόδμητο,Γ,1,1,0,1,0,1,0,0,Υπόγειο parking,1,854 days
70,Σπάτα,Αττική,2021-05-16,Μονοκατοικία,Άρτεμις,150000,1172.0,128.0,1983.0,1ος,4.0,2.0,0,,,,0,1,1,0,0,0,0,0,,0,
71,Γλυφάδα,Αττική,2022-06-01,Μεζονέτα,"Γλυφάδα,Κέντρο",1700000,6693.0,254.0,2020.0,Ισόγειο,4.0,4.0,1,2022-06-10,Καλή,Α+,0,0,1,1,0,1,0,0,Υπόγειο parking,1,9 days
72,Αθήνα,Αττική,2022-03-21,Διαμέρισμα,"Αθήνα,Νιρβάνα",70000,1273.0,55.0,1970.0,3ος,1.0,1.0,1,2022-03-23,Άλλη κατάσταση,Ζ,1,0,0,1,1,0,0,1,,0,2 days
73,Αχαρνές,Αττική,2021-06-30,Διαμέρισμα,"Μεταμόρφωση,Κέντρο",150000,1515.0,99.0,1980.0,1ος,2.0,1.0,1,2022-03-25,Άριστη,Ζ,1,0,1,0,0,0,0,0,,0,268 days
74,Αθήνα,Αττική,2022-05-24,Διαμέρισμα,"Αθήνα,Ακαδημία Πλάτωνος",40000,889.0,45.0,1969.0,Ημιυπόγειο,1.0,1.0,1,2022-06-10,Καλή,Ζ,0,0,1,0,0,0,0,1,,0,17 days
75,Παγκράτι,Αττική,2022-05-16,Διαμέρισμα,"Αθήνα,Βαρνάβα",105000,2500.0,42.0,1970.0,2ος,1.0,1.0,0,,Χρήζει ανακαίνισης,Η,0,0,0,0,0,0,0,0,,0,
76,Βάρη - Βούλα - Βουλιαγμένη,Αττική,2020-12-29,Διαμέρισμα,"Γλυφάδα,Κέντρο",160000,2909.0,55.0,1975.0,3ος,1.0,1.0,1,2022-04-12,Ανακαινισμένο,Ζ,1,0,1,1,0,1,0,0,,0,469 days
77,Πειραιάς,Αττική,2022-01-19,Κτίριο,"Πειραιάς,Ταμπούρια",300000,857.0,350.0,1967.0,'Αλλο,,,1,2022-06-10,Χρήζει ανακαίνισης,Η,0,0,0,0,0,0,0,0,,0,142 days
78,Άλιμος,Αττική,2022-05-03,Διαμέρισμα,"Άλιμος,Άνω Καλαμάκι",375000,3906.0,96.0,2021.0,4ος,3.0,1.0,1,2022-05-08,Υπο κατασκευή,Β,0,1,0,1,0,1,0,0,,0,5 days
79,Κερατσίνι-Δραπετσώνα,Αττική,2022-06-02,Διαμέρισμα,"Κερατσίνι,Αμφιάλη",215000,2028.0,106.0,1990.0,5ος,3.0,1.0,1,2022-06-10,Καλή,Εκρεμμεί,0,1,0,1,0,0,0,0,,0,8 days
80,Αχαρνές,Αττική,2022-04-12,Διαμέρισμα,"Αχαρνές,Χαραυγή",142000,1434.0,99.0,2009.0,1ος,3.0,1.0,1,2022-06-10,Καλή,Δ,1,1,1,1,0,1,0,0,,0,59 days
81,Νέα Σμύρνη,Αττική,2022-04-10,Διαμέρισμα,"Νέα Σμύρνη,Άνω Νέα Σμύρνη",220000,3667.0,60.0,2009.0,3ος,2.0,1.0,1,2022-04-11,Καλή,Εκρεμμεί,1,0,1,1,1,0,0,0,,0,1 days
82,Ηλιούπολη,Αττική,2022-05-16,Διαμέρισμα,"Ηλιούπολη,Πανόραμα (Αστυνομικά)",260000,3467.0,75.0,2022.0,1ος,2.0,1.0,1,2022-06-10,Νεόδμητο,Α+,0,0,0,1,0,1,0,0,,0,25 days
83,Άγιοι Ανάργυροι,Αττική,2021-10-27,Μονοκατοικία,"Νέα Χαλκηδόνα,Χρυσαλλίδα",150000,2344.0,64.0,1964.0,Ισόγειο,1.0,1.0,1,2022-05-07,Καλή,,0,0,0,0,0,0,0,0,,0,192 days
84,Παλαιό Φάληρο,Αττική,2019-11-08,Μεζονέτα,Παλαιό Φάληρο,550000,2391.0,230.0,1974.0,5ος,4.0,1.0,1,2022-06-10,,,1,1,1,1,0,0,0,0,,0,945 days
85,Αθήνα,Αττική,2021-07-12,Κτίριο,"Αθήνα,Εξάρχεια",1000000,1786.0,560.0,1923.0,'Αλλο,,6.0,1,2022-06-07,Άλλη κατάσταση,Η,0,0,0,0,0,0,0,0,,0,330 days
86,Καλλιθέα,Αττική,2022-02-11,Διαμέρισμα,"Νέα Σμύρνη,Κέντρο",180000,3000.0,60.0,2022.0,1ος,2.0,1.0,1,2022-04-14,Άριστη,Α+,1,1,0,1,1,0,0,0,,0,62 days
87,Αθήνα,Αττική,2022-04-12,Διαμέρισμα,"Αθήνα,Πλατεία Αττικής",128000,1133.0,113.0,1950.0,2ος,2.0,1.0,1,2022-05-12,Καλή,Ζ,1,0,0,0,1,0,0,0,,0,30 days
88,Ίλιον,Αττική,2021-11-25,Διαμέρισμα,"Ίλιον,Μιχελή",140000,1273.0,110.0,1992.0,1ος,3.0,1.0,1,2022-05-25,Άλλη κατάσταση,Μη αποδοτικό,1,0,0,0,0,0,0,0,,0,181 days
89,Διόνυσος,Αττική,2019-04-12,Μεζονέτα,Δροσιά,360000,1765.0,204.0,2000.0,Ισόγειο,4.0,3.0,1,2022-05-21,Άριστη,Εκρεμμεί,1,0,0,1,0,1,0,0,Ανοιχτό parking,1,1135 days
90,Κρωπία,Αττική,2021-03-03,Μονοκατοικία,Αγία Μαρίνα,350000,3182.0,110.0,,'Αλλο,,,1,2022-06-10,Άλλη κατάσταση,Ε,0,0,0,0,0,0,0,0,,0,464 days
91,Περιστέρι,Αττική,2022-04-14,Διαμέρισμα,"Αθήνα,Κολοκυνθού",130000,1566.0,83.0,1962.0,1ος,2.0,,1,2022-04-16,Χρήζει ανακαίνισης,Ζ,1,0,0,0,0,0,0,0,,0,2 days
92,Δάφνη,Αττική,2022-01-27,Διαμέρισμα,"Δάφνη Αττικής,Όρια Υμηττού",200000,2326.0,86.0,1986.0,1ος,2.0,1.0,1,2022-06-10,,,1,0,1,0,0,0,0,0,,0,134 days
93,Ζωγράφου,Αττική,2022-02-17,Μονοκατοικία,"Καισαριανή,Σκοπευτήριο",175000,2188.0,80.0,1989.0,'Αλλο,3.0,1.0,1,2022-04-08,Ανακαινισμένο,Εκρεμμεί,1,0,1,1,0,0,0,0,,0,50 days
94,Αχαρνές,Αττική,2022-05-03,Κτίριο,"Άνω Λιόσια,Άγιος Ιωάννης Θεολόγος",200000,556.0,360.0,2010.0,Ισόγειο,,,0,,Καλή,Μη αποδοτικό,0,0,0,0,0,0,0,0,,0,
96,Βριλήσσια,Αττική,2022-03-10,Διαμέρισμα,"Μελίσσια,Όριο Βριλησσίων",270000,2160.0,125.0,1970.0,Ισόγειο,4.0,2.0,1,2022-04-29,Άλλη κατάσταση,Ε,1,0,0,0,0,0,0,0,,0,50 days
97,Καλλιθέα,Αττική,2022-05-27,Διαμέρισμα,"Καλλιθέα,Αγία Ελεούσα",39000,1300.0,30.0,1965.0,'Αλλο,1.0,1.0,1,2022-06-02,Ανακαινισμένο,Ζ,0,0,0,0,0,0,1,0,,0,6 days
98,Αχαρνές,Αττική,2022-02-26,Διαμέρισμα,"Αχαρνές,Μεσονύχι",170000,723.0,235.0,2005.0,Ισόγειο,6.0,6.0,1,2022-03-17,Ημιτελές,Δ,0,0,0,0,0,0,0,0,Parking πιλωτής,1,19 days
99,Δάφνη,Αττική,2022-03-28,Μεζονέτα,"Άγιος Δημήτριος Αττικής,Κέντρο",420000,3471.0,121.0,2022.0,'Αλλο,3.0,1.0,1,2022-04-05,Νεόδμητο,Β+,1,0,0,1,0,1,0,0,,0,8 days
100,Παιανία,Αττική,2019-11-11,Μονοκατοικία,Παιανία,360000,1075.0,335.0,2003.0,'Αλλο,4.0,3.0,0,,,Η,1,0,0,0,0,0,0,0,,0,
102,Αθήνα,Αττική,2022-05-26,Διαμέρισμα,"Αθήνα,Κυψέλη",145000,1436.0,101.0,1967.0,Ισόγειο,,,0,,Καλή,Ζ,1,0,0,0,0,0,0,0,,0,
103,Αθήνα,Αττική,2021-06-15,Διαμέρισμα,"Αθήνα,Άγιος Θωμάς",107000,1574.0,68.0,1964.0,Ημιώροφος,1.0,1.0,1,2022-05-26,Χρήζει ανακαίνισης,Η,1,0,0,0,1,0,0,0,,0,345 days
104,Χαλάνδρι,Αττική,2022-04-27,Διαμέρισμα,"Αγία Παρασκευή,Σταυρός",328000,3814.0,86.0,2022.0,2ος,2.0,1.0,1,2022-05-10,Υπο κατασκευή,Α,0,0,0,1,0,1,0,0,Ανοιχτό parking,1,13 days
105,Άγιος Δημήτριος,Αττική,2022-02-24,Διαμέρισμα,"Άγιος Δημήτριος Αττικής,Μοναστήριο",250000,1563.0,160.0,,Υπερυψωμένο,3.0,1.0,1,2022-03-17,Καλή,Η,1,1,0,1,0,0,0,0,,0,21 days
106,Ραφήνα Πικέρμι,Αττική,2021-05-05,Μονοκατοικία,Πικέρμι,650000,2407.0,270.0,2011.0,'Αλλο,3.0,3.0,0,,Ανακαινισμένο,Γ,1,1,1,1,0,1,0,0,,0,
107,Βάρη - Βούλα - Βουλιαγμένη,Αττική,2022-04-25,Μεζονέτα,Βάρη,670000,2851.0,235.0,2006.0,Ισόγειο,4.0,4.0,1,2022-05-12,Καλή,Γ,0,1,0,1,0,1,0,0,,0,17 days
109,Σαλαμίνα,Αττική,2020-11-16,Μονοκατοικία,Αιάντειο,370000,2643.0,140.0,1979.0,1ος,2.0,2.0,0,,Καλή,Α,1,1,1,1,0,1,0,0,Ανοιχτό parking,1,
110,Λαυρεωτική,Αττική,2022-04-05,Μονοκατοικία,Κερατέα,150000,714.0,210.0,1975.0,Ισόγειο,4.0,1.0,1,2022-04-14,Ανακαινισμένο,Δ,1,0,1,1,0,1,1,0,Κλειστό parking,1,9 days
111,Χαλάνδρι,Αττική,2020-11-24,Διαμέρισμα,"Χαλάνδρι,Πάτημα",277000,3597.0,77.0,2020.0,1ος,2.0,1.0,1,2022-06-10,Υπο κατασκευή,Α+,0,0,1,1,1,1,0,0,,0,563 days
112,Αχαρνές,Αττική,2022-04-05,Διαμέρισμα,Αμαλία Φλέμινγκ,155000,2981.0,52.0,2010.0,2ος,2.0,1.0,1,2022-05-26,Καλή,Γ,1,0,1,0,1,0,0,0,,0,51 days
113,Αθήνα,Αττική,2021-09-20,Διαμέρισμα,"Αθήνα,Νεάπολη",280000,2456.0,114.0,2021.0,3ος,2.0,2.0,1,2022-05-17,Νεόδμητο,Α+,1,1,1,1,1,0,0,0,,0,239 days
114,Νίκαια,Αττική,2021-09-28,Διαμέρισμα,"Νίκαια,Γ΄Νεκροταφείο Αθηνών",67000,859.0,78.0,1981.0,4ος,2.0,1.0,1,2022-05-12,,Η,1,1,0,0,0,0,0,0,,0,226 days
115,Σαλαμίνα,Αττική,2021-08-24,Μεζονέτα,Σαλαμίνα,380000,1267.0,300.0,,'Αλλο,4.0,1.0,0,,,,1,1,1,0,0,0,0,0,"Κλειστό parking, Υπόγειο parking",1,
116,Ίλιον,Αττική,2022-05-30,Διαμέρισμα,"Ίλιον,Μιχελή",185000,2284.0,81.0,2022.0,1ος,2.0,1.0,1,2022-06-10,Νεόδμητο,Α+,0,0,0,0,0,1,0,0,,0,11 days
117,Βάρη - Βούλα - Βουλιαγμένη,Αττική,2020-03-19,Μονοκατοικία,Καβούρι,2300000,3538.0,650.0,1995.0,'Αλλο,7.0,2.0,1,2022-05-24,Άριστη,Δ,1,0,0,0,0,1,0,0,Υπόγειο parking,1,796 days
